time,heart,right,good,leave,keep,away,ai,like,think,long,see,dude,take,ca,look,hear,never,oh,night,go,find,baby,need,feel,could,tell,way,man,walter,say,well,na,thing,home,hold,give,make,one,little,know,want,back,love,gon,come,yeah,let,get,day
525,305,263,233,258,250,270,275,597,326,222,504,835,387,323,336,229,351,467,321,941,270,495,223,228,269,363,418,464,464,579,449,333,230,254,250,250,459,475,263,776,390,397,1037,249,592,289,356,1019,276
time,heart,right,wan,life,leave,girl,come,away,ai,think,long,see,well,take,ca,look,gon,oh,never,night,go,find,baby,every,feel,could,tell,way,try,man,say,need,na,thing,home,hold,make,one,little,know,like,back,love,get,good,yeah,let,want,day
572,295,322,305,269,265,342,533,286,258,383,262,515,263,453,522,361,308,518,445,282,1107,268,402,269,383,351,324,515,243,294,671,264,873,302,247,244,519,526,362,984,806,448,830,1235,388,474,437,530,427
time,heart,still,right,wan,good,leave,keep,away,ai,think,see,always,old,take,ca,look,gon,oh,never,come,go,u,baby,get,feel,ever,could,tell,way,man,say,na,thing,turn,home,give,make,one,little,know,girl,like,back,love,night,yeah,let,want,day
533,389,255,415,328,434,246,262,310,417,336,455,297,249,460,452,260,403,586,433,685,1133,243,478,1551,335,258,333,416,391,255,598,786,308,250,267,301,575,622,337,951,420,1048,416,905,343,521,520,344,325
time,heart,give,wan,day,life,leave,keep,come,away,ai,like,think,see,wo,take,ca,world,look,gon,oh,never,night,go,find,around,baby,feel,want,could,tell,way,man,say,need,na,yeah,make,one,know,girl,well,back,love,eye,thing,right,let,get,good
2265,1088,1363,930,1184,992,868,928,2756,1034,855,2812,1341,1817,801,1890,1568,798,1140,1339,2825,1659,1293,3319,918,773,2712,1607,2138,931,1439,1578,925,2393,1312,2555,2179,1997,1805,3678,1276,1130,1500,4753,860,1001,1114,1799,5664,1370
time,heart,give,la,wan,day,life,leave,keep,come,away,tonight,ai,hey,think,see,wo,beat,take,ca,look,gon,oh,never,night,go,baby,feel,want,could,tell,stop,way,boy,say,need,na,yeah,make,one,know,girl,like,back,love,thing,right,let,get,good
2411,1309,1821,1220,2075,1416,1186,1036,1367,3321,1366,997,1169,1058,1850,2408,1124,1042,2309,2280,1136,1858,3679,2183,1326,4358,3003,2326,2958,1395,1661,1117,2100,1065,2991,1601,4177,2688,2998,2244,5037,2068,4078,1943,4575,1357,1428,2786,8000,1866
time,heart,give,la,wan,life,leave,keep,come,light,cause,away,tonight,ai,think,see,wo,take,ca,look,gon,oh,never,night,go,baby,every,feel,run,want,could,tell,way,boy,say,need,na,yeah,make,one,know,girl,like,back,love,day,right,let,get,good
2330,1507,1932,1035,2438,1353,1108,1521,3132,1230,1113,1149,1053,1245,1628,2038,1038,2650,1970,1428,2285,4144,2102,1745,4954,3508,1063,2273,1109,2973,1413,1820,2101,1216,2664,1975,5132,3619,3306,2209,5672,1667,5651,2038,5523,1115,1670,3080,7309,1810
time,keep,wan,day,put,one,life,give,shit,ai,big,baby,hit,nigga,see,take,ca,look,gon,never,come,go,think,get,ta,fuck,yo,tell,way,try,cause,man,game,say,na,yeah,make,bitch,real,know,as,girl,like,back,love,ya,right,let,want,good
6596,4927,5503,3471,3896,7712,3901,4617,10073,10113,3609,4211,4294,20235,8408,6687,6028,3434,4449,4907,8817,10217,4562,37235,3819,9559,8512,4838,4229,3845,9353,7380,3561,9149,8543,5674,9049,8351,3517,14548,4625,3374,23885,7946,4990,8041,4032,6949,5188,4061
time,money,keep,wan,put,life,girl,shit,ai,baby,bitch,nigga,see,take,ca,feel,look,gon,never,come,go,u,think,get,ta,fuck,yo,could,tell,way,try,cause,man,say,need,na,still,give,yeah,make,one,know,ya,like,back,love,right,let,want,good
5448,3992,4764,5137,3933,4194,4581,7924,9915,4761,6650,14556,8733,5911,4831,3402,4111,4551,5118,7392,10564,3524,4269,33692,3430,7250,4382,3631,5198,3872,3535,6125,6523,7388,3606,7508,3452,4338,5736,8374,6215,13467,6737,23251,7605,5690,4402,6764,4983,3833
time,money,keep,wan,put,call,life,girl,shit,ai,baby,bitch,nigga,never,take,ca,look,gon,oh,ta,come,go,think,feel,love,fuck,want,could,tell,way,cause,man,hit,say,need,na,still,give,yeah,make,one,real,know,like,back,see,right,let,get,good
5391,6233,4485,4913,3928,3364,3635,4394,10201,10403,4106,12763,18861,5600,5870,4905,4663,4806,3606,3460,6827,11175,4344,4034,6235,11072,5979,3279,5888,4230,4458,5469,3529,8087,4935,6655,3538,4057,10530,8500,5662,3322,15220,22528,6292,7420,4090,5763,34041,3870
